Libro,Libro_base_conexiones,Libro_importante_pesos_totales,Centralidad_grado,Grado_centralidad_normalizado,Intermediacion_normalizada,Fase
1,13,137,423,0.5,0.032426,6
12,10,107,310,0.3846,0.032923,6
3,9,96,306,0.3462,0.032821,6
19,2,76,233,0.0769,0.116923,6
5,3,66,235,0.1154,0.067692,6
76,4,50,325,0.1538,0.038462,6
11,2,41,147,0.0769,0.063077,6
78,1,16,50,0.0385,0.049231,6
17,1,15,107,0.0385,0.046154,6
2,2,12,233,0.0769,0.018462,6
20,1,10,137,0.0385,0.030769,6
18,1,8,107,0.0385,0.024615,6
6,1,7,137,0.0385,0.021538,6
15,3,4,283,0.1154,0.004103,6
77,2,4,233,0.0769,0.006154,6
87,2,4,233,0.0769,0.006154,6
85,3,4,189,0.1154,0.004103,6
84,2,3,141,0.0769,0.004615,6
8,1,2,137,0.0385,0.006154,6
13,1,2,107,0.0385,0.006154,6
83,1,1,137,0.0385,0.003077,6
82,1,1,137,0.0385,0.003077,6
14,1,1,107,0.0385,0.003077,6
25,1,1,107,0.0385,0.003077,6
4,0,0,0,0.0,0.0,6
9,0,0,0,0.0,0.0,6
31,0,0,0,0.0,0.0,6
